site_name,ff_funded,has_changing_rooms,Travel from Tooting,Travel from Clapham South,Travel from Streatham,Travel from Tulse Hill,Travel from London Bridge,Average Travel Time,Rounded Travel Time,Travel from Tooting (mins),Travel from Clapham South (mins),Travel from Streatham (mins),Travel from Tulse Hill (mins),Travel from London Bridge (mins),id,lat,lng,has_parking,is_publicly_bookable,number_grass_pitches,number_artificial_pitches,number_floodlit_pitches,Link,JC Shortlist,AI Shortlist,AH Shortlist,TR Shortlist,Exclude,Status,Notes,Extra notes,Who,rank,Image
LA RETRAITE ROMAN CATHOLIC GIRLS SCHOOL,FALSE,TRUE,16 mins,8 mins,22 mins,24 mins,29 mins,17.50,20.00,16.00,8.00,22.00,24.00,29.00,1201158,51.447913,-0.14478,TRUE,TRUE,0,1,1,https://pitchfinder.org.uk/map/site/1201158,,,,,Too Small,Too Small,50 x 40m,,,1,
KENNINGTON PARK HOCKEY PITCH,FALSE,TRUE,20 mins,14 mins,35 mins,26 mins,18 mins,23.75,20.00,20.00,14.00,35.00,26.00,18.00,1103243,51.481651,-0.109154,FALSE,TRUE,0,1,1,https://pitchfinder.org.uk/map/site/1103243,,Y,Y,Y,Under Construction,Under Construction,90x50 Looks like it's sand based (may be a second),Lambeth website says its out of service pending renovations. Long term plans more than this season. Unsure whether it's 4G. Emailed 20/07.,Ridings,2,
TOOTING COMMON,TRUE,TRUE,14 mins,15 mins,13 mins,35 mins,34 mins,19.25,20.00,14.00,15.00,13.00,35.00,34.00,6015435,51.433359,-0.149578,TRUE,TRUE,12,0,0,https://pitchfinder.org.uk/map/site/6015435,,,,,Exclude - Park,Unsuitable (Park),,,,5,
CLAPHAM COMMON,FALSE,TRUE,19 mins,4 mins,24 mins,30 mins,28 mins,19.25,20.00,19.00,4.00,24.00,30.00,28.00,1202428,51.457446,-0.144207,FALSE,TRUE,13,0,0,https://pitchfinder.org.uk/map/site/1202428,,,,,Exclude - Park,Unsuitable (Park),,,,6,
BROCKWELL PARK,TRUE,TRUE,34 mins,22 mins,22 mins,13 mins,40 mins,22.75,20.00,34.00,22.00,22.00,13.00,40.00,1202425,51.451725,-0.105152,FALSE,FALSE,0,0,0,https://pitchfinder.org.uk/map/site/1202425,,,,,Exclude - Park,Unsuitable (Park),,,,7,
AFC WIMBLEDON (PLOUGH LANE),FALSE,TRUE,13 mins,20 mins,37 mins,43 mins,41 mins,28.25,30.00,13.00,20.00,37.00,43.00,41.00,30009052,51.430975,-0.185296,TRUE,FALSE,1,0,1,https://pitchfinder.org.uk/map/site/30009052,,,,,Exclude,Too Expensive,Too expensive. It's a stadium,,,9,
ARCHBISHOPS PARK,FALSE,TRUE,36 mins,28 mins,43 mins,39 mins,20 mins,36.50,40.00,36.00,28.00,43.00,39.00,20.00,1043105,51.497867,-0.116084,FALSE,TRUE,0,1,1,https://pitchfinder.org.uk/map/site/1043105,,,,,,Too Small (Training option),80x40m ,Small. Might be a training option.,Jack,38,
BATTERSEA IRONSIDES SPORTS CLUB,TRUE,TRUE,22 mins,21 mins,33 mins,47 mins,40 mins,30.75,30.00,22.00,21.00,33.00,47.00,40.00,6015418,51.443213,-0.1806,TRUE,TRUE,1,1,1,https://pitchfinder.org.uk/map/site/6015418,,,,,Exclude - Too small ,Too Small (Training option),60m x 37m but 4G. Training only.,,,10,
LARKHALL PARK,TRUE,TRUE,24 mins,18 mins,38 mins,32 mins,27 mins,28.00,30.00,24.00,18.00,38.00,32.00,27.00,1202421,51.473087,-0.131471,FALSE,TRUE,1,1,1,https://pitchfinder.org.uk/map/site/1202421,,,,,Exclude,Out of Service,too small,Also apparently out of service,,12,
KINGSDALE FOUNDATION SCHOOL,FALSE,TRUE,38 mins,32 mins,33 mins,26 mins,50 mins,32.25,30.00,38.00,32.00,33.00,26.00,50.00,1201371,51.432231,-0.084978,TRUE,TRUE,1,1,1,https://pitchfinder.org.uk/map/site/1201371,,,,,Exclude,Too Small (Training option),50x35m sand. Too small.,,,15,
